"location","time_idx","value","target"
"LT","2020-01-27",0,"inc case"
"LU","2020-01-27",0,"inc case"
"MT","2020-01-27",0,"inc case"
"NL","2020-01-27",0,"inc case"
"NO","2020-01-27",0,"inc case"
"PL","2020-01-27",0,"inc case"
"PT","2020-01-27",0,"inc case"
"RO","2020-01-27",0,"inc case"
"SK","2020-01-27",0,"inc case"
"SI","2020-01-27",0,"inc case"
"ES","2020-01-27",0,"inc case"
"SE","2020-01-27",0,"inc case"
"CH","2020-01-27",0,"inc case"
"GB","2020-01-27",0,"inc case"
"AT","2020-01-28",0,"inc case"
"BE","2020-01-28",0,"inc case"
"BG","2020-01-28",0,"inc case"
"HR","2020-01-28",0,"inc case"
"CY","2020-01-28",0,"inc case"
"CZ","2020-01-28",0,"inc case"
"DK","2020-01-28",0,"inc case"
"EE","2020-01-28",0,"inc case"
"FI","2020-01-28",0,"inc case"
"FR","2020-01-28",1,"inc case"
"DE","2020-01-28",3,"inc case"
"GR","2020-01-28",0,"inc case"
"HU","2020-01-28",0,"inc case"
"IS","2020-01-28",0,"inc case"
"IE","2020-01-28",0,"inc case"
"IT","2020-01-28",0,"inc case"
"LV","2020-01-28",0,"inc case"
"LI","2020-01-28",0,"inc case"
"LT","2020-01-28",0,"inc case"
"LU","2020-01-28",0,"inc case"
"MT","2020-01-28",0,"inc case"
"NL","2020-01-28",0,"inc case"
"NO","2020-01-28",0,"inc case"
"PL","2020-01-28",0,"inc case"
"PT","2020-01-28",0,"inc case"
"RO","2020-01-28",0,"inc case"
"SK","2020-01-28",0,"inc case"
"SI","2020-01-28",0,"inc case"
"ES","2020-01-28",0,"inc case"
"SE","2020-01-28",0,"inc case"
"CH","2020-01-28",0,"inc case"
"GB","2020-01-28",0,"inc case"
"AT","2020-01-29",0,"inc case"
"BE","2020-01-29",0,"inc case"
"BG","2020-01-29",0,"inc case"
"HR","2020-01-29",0,"inc case"
"CY","2020-01-29",0,"inc case"
"CZ","2020-01-29",0,"inc case"
"DK","2020-01-29",0,"inc case"
"EE","2020-01-29",0,"inc case"
"FI","2020-01-29",1,"inc case"
"FR","2020-01-29",1,"inc case"
"DE","2020-01-29",0,"inc case"
"GR","2020-01-29",0,"inc case"
"HU","2020-01-29",0,"inc case"
"IS","2020-01-29",0,"inc case"
"IE","2020-01-29",0,"inc case"
"IT","2020-01-29",0,"inc case"
"LV","2020-01-29",0,"inc case"
"LI","2020-01-29",0,"inc case"
"LT","2020-01-29",0,"inc case"
"LU","2020-01-29",0,"inc case"
"MT","2020-01-29",0,"inc case"
"NL","2020-01-29",0,"inc case"
"NO","2020-01-29",0,"inc case"
"PL","2020-01-29",0,"inc case"
"PT","2020-01-29",0,"inc case"
"RO","2020-01-29",0,"inc case"
"SK","2020-01-29",0,"inc case"
"SI","2020-01-29",0,"inc case"
"ES","2020-01-29",0,"inc case"
"SE","2020-01-29",0,"inc case"
"CH","2020-01-29",0,"inc case"
"GB","2020-01-29",0,"inc case"
"AT","2020-01-30",0,"inc case"
"BE","2020-01-30",0,"inc case"
"BG","2020-01-30",0,"inc case"
"HR","2020-01-30",0,"inc case"
"CY","2020-01-30",0,"inc case"
"CZ","2020-01-30",0,"inc case"
"DK","2020-01-30",0,"inc case"
"EE","2020-01-30",0,"inc case"
"FI","2020-01-30",0,"inc case"
"FR","2020-01-30",0,"inc case"
"DE","2020-01-30",0,"inc case"
"GR","2020-01-30",0,"inc case"
"HU","2020-01-30",0,"inc case"
"IS","2020-01-30",0,"inc case"
"IE","2020-01-30",0,"inc case"
"IT","2020-01-30",0,"inc case"
"LV","2020-01-30",0,"inc case"
"LI","2020-01-30",0,"inc case"
"LT","2020-01-30",0,"inc case"
"LU","2020-01-30",0,"inc case"
"MT","2020-01-30",0,"inc case"
"NL","2020-01-30",0,"inc case"
"NO","2020-01-30",0,"inc case"
"PL","2020-01-30",0,"inc case"
"PT","2020-01-30",0,"inc case"
"RO","2020-01-30",0,"inc case"
"SK","2020-01-30",0,"inc case"
"SI","2020-01-30",0,"inc case"
"ES","2020-01-30",0,"inc case"
"SE","2020-01-30",0,"inc case"
"CH","2020-01-30",0,"inc case"
"GB","2020-01-30",0,"inc case"
"AT","2020-01-31",0,"inc case"
"BE","2020-01-31",0,"inc case"
"BG","2020-01-31",0,"inc case"
"HR","2020-01-31",0,"inc case"
"CY","2020-01-31",0,"inc case"
"CZ","2020-01-31",0,"inc case"
"DK","2020-01-31",0,"inc case"
"EE","2020-01-31",0,"inc case"
"FI","2020-01-31",0,"inc case"
"FR","2020-01-31",0,"inc case"
"DE","2020-01-31",1,"inc case"
"GR","2020-01-31",0,"inc case"
"HU","2020-01-31",0,"inc case"
"IS","2020-01-31",0,"inc case"
"IE","2020-01-31",0,"inc case"
"IT","2020-01-31",2,"inc case"
"LV","2020-01-31",0,"inc case"
"LI","2020-01-31",0,"inc case"
"LT","2020-01-31",0,"inc case"
"LU","2020-01-31",0,"inc case"
"MT","2020-01-31",0,"inc case"
"NL","2020-01-31",0,"inc case"
"NO","2020-01-31",0,"inc case"
"PL","2020-01-31",0,"inc case"
"PT","2020-01-31",0,"inc case"
"RO","2020-01-31",0,"inc case"
"SK","2020-01-31",0,"inc case"
"SI","2020-01-31",0,"inc case"
"ES","2020-01-31",0,"inc case"
"SE","2020-01-31",0,"inc case"
"CH","2020-01-31",0,"inc case"
"GB","2020-01-31",2,"inc case"
"AT","2020-02-01",0,"inc case"
"BE","2020-02-01",0,"inc case"
"BG","2020-02-01",0,"inc case"
"HR","2020-02-01",0,"inc case"
"CY","2020-02-01",0,"inc case"
"CZ","2020-02-01",0,"inc case"
"DK","2020-02-01",0,"inc case"
"EE","2020-02-01",0,"inc case"
"FI","2020-02-01",0,"inc case"
"FR","2020-02-01",1,"inc case"
"DE","2020-02-01",3,"inc case"
"GR","2020-02-01",0,"inc case"
"HU","2020-02-01",0,"inc case"
"IS","2020-02-01",0,"inc case"
"IE","2020-02-01",0,"inc case"
"IT","2020-02-01",0,"inc case"
"LV","2020-02-01",0,"inc case"
"LI","2020-02-01",0,"inc case"
"LT","2020-02-01",0,"inc case"
"LU","2020-02-01",0,"inc case"
"MT","2020-02-01",0,"inc case"
"NL","2020-02-01",0,"inc case"
"NO","2020-02-01",0,"inc case"
"PL","2020-02-01",0,"inc case"
"PT","2020-02-01",0,"inc case"
"RO","2020-02-01",0,"inc case"
"SK","2020-02-01",0,"inc case"
"SI","2020-02-01",0,"inc case"
"ES","2020-02-01",1,"inc case"
"SE","2020-02-01",1,"inc case"
"CH","2020-02-01",0,"inc case"
"GB","2020-02-01",0,"inc case"
"AT","2020-02-02",0,"inc case"
"BE","2020-02-02",0,"inc case"
"BG","2020-02-02",0,"inc case"
"HR","2020-02-02",0,"inc case"
"CY","2020-02-02",0,"inc case"
"CZ","2020-02-02",0,"inc case"
"DK","2020-02-02",0,"inc case"
"EE","2020-02-02",0,"inc case"
"FI","2020-02-02",0,"inc case"
"FR","2020-02-02",0,"inc case"
"DE","2020-02-02",2,"inc case"
"GR","2020-02-02",0,"inc case"
"HU","2020-02-02",0,"inc case"
"IS","2020-02-02",0,"inc case"
"IE","2020-02-02",0,"inc case"
"IT","2020-02-02",0,"inc case"
"LV","2020-02-02",0,"inc case"
"LI","2020-02-02",0,"inc case"
"LT","2020-02-02",0,"inc case"
"LU","2020-02-02",0,"inc case"
"MT","2020-02-02",0,"inc case"
"NL","2020-02-02",0,"inc case"
"NO","2020-02-02",0,"inc case"
"PL","2020-02-02",0,"inc case"
"PT","2020-02-02",0,"inc case"
"RO","2020-02-02",0,"inc case"
"SK","2020-02-02",0,"inc case"
"SI","2020-02-02",0,"inc case"
"ES","2020-02-02",0,"inc case"
"SE","2020-02-02",0,"inc case"
"CH","2020-02-02",0,"inc case"
"GB","2020-02-02",0,"inc case"
"AT","2020-02-03",0,"inc case"
"BE","2020-02-03",0,"inc case"
"BG","2020-02-03",0,"inc case"
"HR","2020-02-03",0,"inc case"
"CY","2020-02-03",0,"inc case"
"CZ","2020-02-03",0,"inc case"
"DK","2020-02-03",0,"inc case"
"EE","2020-02-03",0,"inc case"
"FI","2020-02-03",0,"inc case"
"FR","2020-02-03",0,"inc case"
"DE","2020-02-03",2,"inc case"
"GR","2020-02-03",0,"inc case"
"HU","2020-02-03",0,"inc case"
"IS","2020-02-03",0,"inc case"
"IE","2020-02-03",0,"inc case"
"IT","2020-02-03",0,"inc case"
"LV","2020-02-03",0,"inc case"
"LI","2020-02-03",0,"inc case"
"LT","2020-02-03",0,"inc case"
"LU","2020-02-03",0,"inc case"
"MT","2020-02-03",0,"inc case"
"NL","2020-02-03",0,"inc case"
"NO","2020-02-03",0,"inc case"
"PL","2020-02-03",0,"inc case"
"PT","2020-02-03",0,"inc case"
"RO","2020-02-03",0,"inc case"
"SK","2020-02-03",0,"inc case"
"SI","2020-02-03",0,"inc case"
"ES","2020-02-03",0,"inc case"
"SE","2020-02-03",0,"inc case"
"CH","2020-02-03",0,"inc case"
"GB","2020-02-03",6,"inc case"
"AT","2020-02-04",0,"inc case"
"BE","2020-02-04",1,"inc case"
"BG","2020-02-04",0,"inc case"
"HR","2020-02-04",0,"inc case"
"CY","2020-02-04",0,"inc case"
"CZ","2020-02-04",0,"inc case"
"DK","2020-02-04",0,"inc case"
"EE","2020-02-04",0,"inc case"
"FI","2020-02-04",0,"inc case"
"FR","2020-02-04",0,"inc case"
"DE","2020-02-04",0,"inc case"
"GR","2020-02-04",0,"inc case"
"HU","2020-02-04",0,"inc case"
"IS","2020-02-04",0,"inc case"
"IE","2020-02-04",0,"inc case"
"IT","2020-02-04",0,"inc case"
"LV","2020-02-04",0,"inc case"
"LI","2020-02-04",0,"inc case"
"LT","2020-02-04",0,"inc case"
"LU","2020-02-04",0,"inc case"
"MT","2020-02-04",0,"inc case"
"NL","2020-02-04",0,"inc case"
"NO","2020-02-04",0,"inc case"
"PL","2020-02-04",0,"inc case"
"PT","2020-02-04",0,"inc case"
"RO","2020-02-04",0,"inc case"
"SK","2020-02-04",0,"inc case"
"SI","2020-02-04",0,"inc case"
"ES","2020-02-04",0,"inc case"
"SE","2020-02-04",0,"inc case"
"CH","2020-02-04",0,"inc case"
"GB","2020-02-04",0,"inc case"
"AT","2020-02-05",0,"inc case"
"BE","2020-02-05",0,"inc case"
"BG","2020-02-05",0,"inc case"
"HR","2020-02-05",0,"inc case"
"CY","2020-02-05",0,"inc case"
"CZ","2020-02-05",0,"inc case"
"DK","2020-02-05",0,"inc case"
"EE","2020-02-05",0,"inc case"
"FI","2020-02-05",0,"inc case"
"FR","2020-02-05",0,"inc case"
"DE","2020-02-05",0,"inc case"
"GR","2020-02-05",0,"inc case"
"HU","2020-02-05",0,"inc case"
"IS","2020-02-05",0,"inc case"
"IE","2020-02-05",0,"inc case"
"IT","2020-02-05",0,"inc case"
"LV","2020-02-05",0,"inc case"
"LI","2020-02-05",0,"inc case"
"LT","2020-02-05",0,"inc case"
"LU","2020-02-05",0,"inc case"
"MT","2020-02-05",0,"inc case"
"NL","2020-02-05",0,"inc case"
"NO","2020-02-05",0,"inc case"
"PL","2020-02-05",0,"inc case"
"PT","2020-02-05",0,"inc case"
"RO","2020-02-05",0,"inc case"
"SK","2020-02-05",0,"inc case"
"SI","2020-02-05",0,"inc case"
"ES","2020-02-05",0,"inc case"
"SE","2020-02-05",0,"inc case"
"CH","2020-02-05",0,"inc case"
"GB","2020-02-05",1,"inc case"
"AT","2020-02-06",0,"inc case"
"BE","2020-02-06",0,"inc case"
"BG","2020-02-06",0,"inc case"
"HR","2020-02-06",0,"inc case"
"CY","2020-02-06",0,"inc case"
"CZ","2020-02-06",0,"inc case"
"DK","2020-02-06",0,"inc case"
"EE","2020-02-06",0,"inc case"
"FI","2020-02-06",0,"inc case"
"FR","2020-02-06",0,"inc case"
"DE","2020-02-06",0,"inc case"
"GR","2020-02-06",0,"inc case"
"HU","2020-02-06",0,"inc case"
"IS","2020-02-06",0,"inc case"
"IE","2020-02-06",0,"inc case"
"IT","2020-02-06",0,"inc case"
"LV","2020-02-06",0,"inc case"
"LI","2020-02-06",0,"inc case"
"LT","2020-02-06",0,"inc case"
"LU","2020-02-06",0,"inc case"
"MT","2020-02-06",0,"inc case"
"NL","2020-02-06",0,"inc case"
"NO","2020-02-06",0,"inc case"
"PL","2020-02-06",0,"inc case"
"PT","2020-02-06",0,"inc case"
"RO","2020-02-06",0,"inc case"
"SK","2020-02-06",0,"inc case"
"SI","2020-02-06",0,"inc case"
"ES","2020-02-06",0,"inc case"
"SE","2020-02-06",0,"inc case"
"CH","2020-02-06",0,"inc case"
"GB","2020-02-06",0,"inc case"
"AT","2020-02-07",0,"inc case"
"BE","2020-02-07",0,"inc case"
"BG","2020-02-07",0,"inc case"
"HR","2020-02-07",0,"inc case"
"CY","2020-02-07",0,"inc case"
"CZ","2020-02-07",0,"inc case"
"DK","2020-02-07",0,"inc case"
"EE","2020-02-07",0,"inc case"
"FI","2020-02-07",0,"inc case"
"FR","2020-02-07",0,"inc case"
"DE","2020-02-07",1,"inc case"
"GR","2020-02-07",0,"inc case"
"HU","2020-02-07",0,"inc case"
"IS","2020-02-07",0,"inc case"
"IE","2020-02-07",0,"inc case"
"IT","2020-02-07",1,"inc case"
"LV","2020-02-07",0,"inc case"
"LI","2020-02-07",0,"inc case"
"LT","2020-02-07",0,"inc case"
"LU","2020-02-07",0,"inc case"
"MT","2020-02-07",0,"inc case"
"NL","2020-02-07",0,"inc case"
"NO","2020-02-07",0,"inc case"
"PL","2020-02-07",0,"inc case"
"PT","2020-02-07",0,"inc case"
"RO","2020-02-07",0,"inc case"
"SK","2020-02-07",0,"inc case"
"SI","2020-02-07",0,"inc case"
"ES","2020-02-07",0,"inc case"
"SE","2020-02-07",0,"inc case"
"CH","2020-02-07",0,"inc case"
"GB","2020-02-07",0,"inc case"
"AT","2020-02-08",0,"inc case"
"BE","2020-02-08",0,"inc case"
"BG","2020-02-08",0,"inc case"
"HR","2020-02-08",0,"inc case"
"CY","2020-02-08",0,"inc case"
