"time_idx","location","value","target"
"2020-01-25","02",0,"cum case"
"2020-01-25","01",0,"cum case"
"2020-01-25","05",0,"cum case"
"2020-01-25","04",0,"cum case"
"2020-01-25","06",0,"cum case"
"2020-01-25","08",0,"cum case"
"2020-01-25","09",0,"cum case"
"2020-01-25","11",0,"cum case"
"2020-01-25","10",0,"cum case"
"2020-01-25","12",0,"cum case"
"2020-01-25","13",0,"cum case"
"2020-01-25","15",0,"cum case"
"2020-01-25","19",0,"cum case"
"2020-01-25","16",0,"cum case"
"2020-01-25","17",1,"cum case"
"2020-01-25","18",0,"cum case"
"2020-01-25","20",0,"cum case"
"2020-01-25","21",0,"cum case"
"2020-01-25","22",0,"cum case"
"2020-01-25","25",0,"cum case"
"2020-01-25","24",0,"cum case"
"2020-01-25","23",0,"cum case"
"2020-01-25","26",0,"cum case"
"2020-01-25","27",0,"cum case"
"2020-01-25","29",0,"cum case"
"2020-01-25","28",0,"cum case"
"2020-01-25","30",0,"cum case"
"2020-01-25","37",0,"cum case"
"2020-01-25","38",0,"cum case"
"2020-01-25","31",0,"cum case"
"2020-01-25","33",0,"cum case"
"2020-01-25","34",0,"cum case"
"2020-01-25","35",0,"cum case"
"2020-01-25","32",0,"cum case"
"2020-01-25","36",0,"cum case"
"2020-01-25","39",0,"cum case"
"2020-01-25","40",0,"cum case"
"2020-01-25","41",0,"cum case"
"2020-01-25","42",0,"cum case"
"2020-01-25","44",0,"cum case"
"2020-01-25","45",0,"cum case"
"2020-01-25","46",0,"cum case"
"2020-01-25","47",0,"cum case"
"2020-01-25","48",0,"cum case"
"2020-01-25","49",0,"cum case"
"2020-01-25","51",0,"cum case"
"2020-01-25","50",0,"cum case"
"2020-01-25","53",1,"cum case"
"2020-01-25","55",0,"cum case"
"2020-01-25","54",0,"cum case"
"2020-01-25","56",0,"cum case"
"2020-02-01","02",0,"cum case"
"2020-02-01","01",0,"cum case"
"2020-02-01","05",0,"cum case"
"2020-02-01","04",1,"cum case"
"2020-02-01","06",3,"cum case"
"2020-02-01","08",0,"cum case"
"2020-02-01","09",0,"cum case"
"2020-02-01","11",0,"cum case"
"2020-02-01","10",0,"cum case"
"2020-02-01","12",0,"cum case"
"2020-02-01","13",0,"cum case"
"2020-02-01","15",0,"cum case"
"2020-02-01","19",0,"cum case"
"2020-02-01","16",0,"cum case"
"2020-02-01","17",2,"cum case"
"2020-02-01","18",0,"cum case"
"2020-02-01","20",0,"cum case"
"2020-02-01","21",0,"cum case"
"2020-02-01","22",0,"cum case"
"2020-02-01","25",1,"cum case"
"2020-02-01","24",0,"cum case"
"2020-02-01","23",0,"cum case"
"2020-02-01","26",0,"cum case"
"2020-02-01","27",0,"cum case"
"2020-02-01","29",0,"cum case"
"2020-02-01","28",0,"cum case"
"2020-02-01","30",0,"cum case"
"2020-02-01","37",0,"cum case"
"2020-02-01","38",0,"cum case"
"2020-02-01","31",0,"cum case"
"2020-02-01","33",0,"cum case"
"2020-02-01","34",0,"cum case"
"2020-02-01","35",0,"cum case"
"2020-02-01","32",0,"cum case"
"2020-02-01","36",0,"cum case"
"2020-02-01","39",0,"cum case"
"2020-02-01","40",0,"cum case"
"2020-02-01","41",0,"cum case"
"2020-02-01","42",0,"cum case"
"2020-02-01","44",0,"cum case"
"2020-02-01","45",0,"cum case"
"2020-02-01","46",0,"cum case"
"2020-02-01","47",0,"cum case"
"2020-02-01","48",0,"cum case"
"2020-02-01","49",0,"cum case"
"2020-02-01","51",0,"cum case"
"2020-02-01","50",0,"cum case"
"2020-02-01","53",1,"cum case"
"2020-02-01","55",0,"cum case"
"2020-02-01","54",0,"cum case"
"2020-02-01","56",0,"cum case"
"2020-02-08","02",0,"cum case"
"2020-02-08","01",0,"cum case"
"2020-02-08","05",0,"cum case"
"2020-02-08","04",1,"cum case"
"2020-02-08","06",6,"cum case"
"2020-02-08","08",0,"cum case"
"2020-02-08","09",0,"cum case"
"2020-02-08","11",0,"cum case"
"2020-02-08","10",0,"cum case"
"2020-02-08","12",0,"cum case"
"2020-02-08","13",0,"cum case"
"2020-02-08","15",0,"cum case"
"2020-02-08","19",0,"cum case"
"2020-02-08","16",0,"cum case"
"2020-02-08","17",2,"cum case"
"2020-02-08","18",0,"cum case"
"2020-02-08","20",0,"cum case"
"2020-02-08","21",0,"cum case"
"2020-02-08","22",0,"cum case"
"2020-02-08","25",1,"cum case"
"2020-02-08","24",0,"cum case"
"2020-02-08","23",0,"cum case"
"2020-02-08","26",0,"cum case"
"2020-02-08","27",0,"cum case"
"2020-02-08","29",0,"cum case"
"2020-02-08","28",0,"cum case"
"2020-02-08","30",0,"cum case"
"2020-02-08","37",0,"cum case"
"2020-02-08","38",0,"cum case"
"2020-02-08","31",0,"cum case"
"2020-02-08","33",0,"cum case"
"2020-02-08","34",0,"cum case"
"2020-02-08","35",0,"cum case"
"2020-02-08","32",0,"cum case"
"2020-02-08","36",0,"cum case"
"2020-02-08","39",0,"cum case"
"2020-02-08","40",0,"cum case"
"2020-02-08","41",0,"cum case"
"2020-02-08","42",0,"cum case"
"2020-02-08","44",0,"cum case"
"2020-02-08","45",0,"cum case"
"2020-02-08","46",0,"cum case"
"2020-02-08","47",0,"cum case"
"2020-02-08","48",0,"cum case"
"2020-02-08","49",0,"cum case"
"2020-02-08","51",0,"cum case"
"2020-02-08","50",0,"cum case"
"2020-02-08","53",1,"cum case"
"2020-02-08","55",0,"cum case"
"2020-02-08","54",0,"cum case"
"2020-02-08","56",0,"cum case"
"2020-02-15","02",0,"cum case"
"2020-02-15","01",0,"cum case"
"2020-02-15","05",0,"cum case"
"2020-02-15","04",1,"cum case"
"2020-02-15","06",8,"cum case"
"2020-02-15","08",0,"cum case"
"2020-02-15","09",0,"cum case"
"2020-02-15","11",0,"cum case"
"2020-02-15","10",0,"cum case"
"2020-02-15","12",0,"cum case"
"2020-02-15","13",0,"cum case"
"2020-02-15","15",0,"cum case"
"2020-02-15","19",0,"cum case"
"2020-02-15","16",0,"cum case"
"2020-02-15","17",2,"cum case"
"2020-02-15","18",0,"cum case"
"2020-02-15","20",0,"cum case"
"2020-02-15","21",0,"cum case"
"2020-02-15","22",0,"cum case"
"2020-02-15","25",1,"cum case"
"2020-02-15","24",0,"cum case"
"2020-02-15","23",0,"cum case"
"2020-02-15","26",0,"cum case"
"2020-02-15","27",0,"cum case"
"2020-02-15","29",0,"cum case"
"2020-02-15","28",0,"cum case"
"2020-02-15","30",0,"cum case"
"2020-02-15","37",0,"cum case"
"2020-02-15","38",0,"cum case"
"2020-02-15","31",0,"cum case"
"2020-02-15","33",0,"cum case"
"2020-02-15","34",0,"cum case"
"2020-02-15","35",0,"cum case"
"2020-02-15","32",0,"cum case"
"2020-02-15","36",0,"cum case"
"2020-02-15","39",0,"cum case"
"2020-02-15","40",0,"cum case"
"2020-02-15","41",0,"cum case"
"2020-02-15","42",0,"cum case"
"2020-02-15","44",0,"cum case"
"2020-02-15","45",0,"cum case"
"2020-02-15","46",0,"cum case"
"2020-02-15","47",0,"cum case"
"2020-02-15","48",0,"cum case"
"2020-02-15","49",0,"cum case"
"2020-02-15","51",0,"cum case"
"2020-02-15","50",0,"cum case"
"2020-02-15","53",1,"cum case"
"2020-02-15","55",0,"cum case"
